Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
The Shore,1,1,TRUE,D5,https://drive.google.com/file/d/17VpEdZ_1v_KQZJmudJPA8XRpz6AVhToE/view?usp=drive_link,https://drive.google.com/uc?export=view&id=17VpEdZ_1v_KQZJmudJPA8XRpz6AVhToE,"1,153",,,,
The Shore,1,1,TRUE,D6,https://drive.google.com/file/d/19Ba-PutAGWXXxkBTaPOljsRSDkIFx6k8/view?usp=drive_link,https://drive.google.com/uc?export=view&id=19Ba-PutAGWXXxkBTaPOljsRSDkIFx6k8,980,,,,
The Shore,1,1,TRUE,D7,https://drive.google.com/file/d/1EYkOvIeaLDk11yHdLdU6MPZC9C96KwX0/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1EYkOvIeaLDk11yHdLdU6MPZC9C96KwX0,"1,416",,,,
The Shore,1,1,TRUE,D8,https://drive.google.com/file/d/1X6E2Jxp2S4xl0YFv8n9l-0I_yxay_7gO/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1X6E2Jxp2S4xl0YFv8n9l-0I_yxay_7gO,942,,,,
The Shore,1,1,TRUE,D9,https://drive.google.com/file/d/1KDcOEMv8mMbpUp5Y41UcFgz2M79HELaV/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1KDcOEMv8mMbpUp5Y41UcFgz2M79HELaV,983,,,,
The Shore,1,1,TRUE,D10,https://drive.google.com/file/d/15mvvXaVBiNAuQehw-XcLNvqTwyLtlFuv/view?usp=drive_link,https://drive.google.com/uc?export=view&id=15mvvXaVBiNAuQehw-XcLNvqTwyLtlFuv,"1,133",,,,
The Shore,1,1,TRUE,D11,https://drive.google.com/file/d/1IWyjtqVwbIf3i0MlrxgvAeDHB4v7ul_n/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1IWyjtqVwbIf3i0MlrxgvAeDHB4v7ul_n,"1,339",,,,
The Shore,2,2,FALSE,B1,https://drive.google.com/file/d/1YQS06QaoD8ISla-z2JqCxs2qUkaJeMbB/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1YQS06QaoD8ISla-z2JqCxs2qUkaJeMbB,"1,470",,,,
The Shore,2,2,FALSE,B3,https://drive.google.com/file/d/1TDAgIrRjcpUtTxIelLR2nIiEzT7o7tmD/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1TDAgIrRjcpUtTxIelLR2nIiEzT7o7tmD,"2,012",,,,
The Shore,2,2,FALSE,B4,https://drive.google.com/file/d/16zH5OuBALz4-VLg1QOloX2Zt8fg31NgJ/view?usp=drive_link,https://drive.google.com/uc?export=view&id=16zH5OuBALz4-VLg1QOloX2Zt8fg31NgJ,"1,488",,,,
The Shore,2,2,FALSE,B5,https://drive.google.com/file/d/1mKaYdnPHqKvqCjcbgWnq9U6_sokcC33T/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1mKaYdnPHqKvqCjcbgWnq9U6_sokcC33T,"1,486",,,,
The Shore,2,2,FALSE,B6,https://drive.google.com/file/d/11xKvFMtUBi3fQNtBh4VNswjM_VXP3KNR/view?usp=drive_link,https://drive.google.com/uc?export=view&id=11xKvFMtUBi3fQNtBh4VNswjM_VXP3KNR,"1,907",,,,
The Shore,2,2,FALSE,B7,https://drive.google.com/file/d/1dBDQN5GA94wDCUxKPB4CgU5fgm60u3FC/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1dBDQN5GA94wDCUxKPB4CgU5fgm60u3FC,"1,468",,,,
The Shore,2,2,FALSE,B8,https://drive.google.com/file/d/1GZvbbEzrcInWxJXwPdOtX0lp2F9Uuok0/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1GZvbbEzrcInWxJXwPdOtX0lp2F9Uuok0,"1,586",,,,
